alpha_main,beta_t,beta_x_e,beta_xe_t_interaction,beta.1.,N,sampling_type,sampling_design,impute,gamma2,true_beta_x_e,true_beta_x_z,gamma_sd,spline
1.39770648,1.5622993,1.15208296,0.99147085,1.50549607,200,intercept,FULL,TRUE,0,1,1,3,FALSE
1.53078526,1.5923585,0.89714041,0.99853285,1.306363516,200,intercept,FULL,TRUE,0,1,1,3,FALSE
