alpha_main,beta_t,beta_x_e,beta_xe_t_interaction,beta.1.,N,sampling_type,sampling_design,impute,gamma2,true_beta_x_e,true_beta_x_z,gamma_sd,spline
1.74077051,1.08498132,0.97877175,1.0883927,0.5610272718,200,slope,BDS,FALSE,0,1,1,3,FALSE
0.432755032,1.6718399,1.15462164,1.06174878,-0.2100780447,200,slope,BDS,FALSE,0,1,1,3,FALSE
